mood,company,genres,ratings,releaseRange,occasion,liked_movie
chill,kids,"Horror,Sci-Fi",G,older,me-time,Yojimbo
chill,kids,"Action,Sci-Fi","PG-13,PG",classic,party,Miserere
thrilled,family,"Romance,Sci-Fi","NC-17,PG",recent,party,Deal of a Lifetime
thrilled,partner,"Romance,Comedy,Sci-Fi",R,older,birthday,Warrior
happy,friends,"Sci-Fi,Action",NC-17,mid,holiday,The Art of War III: Retribution
chill,partner,Romance,PG,classic,me-time,Fireproof
happy,partner,Comedy,G,classic,party,The Hateful Eight
thrilled,partner,Action,"PG,G",older,casual,"Honey, We Shrunk Ourselves"
happy,kids,Comedy,G,classic,party,Wool 100%
sad,alone,Horror,NC-17,recent,me-time,The Darkest Dawn
happy,friends,"Horror,Action",R,older,me-time,They Were Five
chill,family,Sci-Fi,"PG,R",classic,date,Zombie Flesh Eaters
happy,kids,Sci-Fi,"G,PG-13",older,holiday,El Bola
sad,kids,Drama,PG-13,recent,birthday,Unicorn City
thrilled,family,Action,NC-17,older,me-time,Aferim!
happy,friends,Comedy,"PG,G",mid,me-time,7 Kocalı Hürmüz
sad,alone,"Drama,Sci-Fi","PG-13,R",mid,date,Predestination
thrilled,friends,"Sci-Fi,Horror,Action","PG-13,PG",recent,me-time,Power Trip
chill,friends,Romance,"G,NC-17",classic,holiday,Christmas List
chill,partner,"Horror,Sci-Fi,Action",PG,classic,date,Where's the Dragon?
sad,kids,"Drama,Comedy,Action",G,classic,holiday,The Corn Is Green
happy,friends,"Horror,Romance",R,older,casual,My Italian Secret: The Forgotten Heroes
happy,partner,"Drama,Action","R,NC-17",classic,casual,Tezaab
sad,partner,"Action,Comedy,Sci-Fi","PG-13,PG",older,date,Under New Management
happy,family,Drama,G,mid,me-time,The House by the Cemetery
sad,friends,Comedy,"G,PG",older,casual,No Orchids for Miss Blandish
sad,kids,"Sci-Fi,Drama,Action",PG-13,older,me-time,The Deadly Mantis
sad,alone,"Sci-Fi,Comedy","PG,PG-13",mid,party,Dragon Ball: Yo! Son Goku and Friends Return!!
chill,family,"Horror,Drama,Comedy",PG,recent,birthday,Manichitrathazhu
chill,kids,"Sci-Fi,Action","PG,G",older,holiday,The Hacker Wars
sad,friends,"Action,Drama",PG-13,classic,casual,The Match King
chill,alone,Romance,"PG,R",recent,date,Neapolitan Turk
sad,partner,Horror,"PG,G",recent,holiday,A Matador's Mistress
happy,friends,Sci-Fi,PG,recent,party,Connected
chill,alone,"Horror,Romance,Action","R,PG",mid,party,The Unfaithful Wife
happy,partner,"Romance,Comedy,Action","PG,R",recent,date,3 Needles
thrilled,alone,"Horror,Sci-Fi","G,R",classic,me-time,Kundo: Age of the Rampant
happy,family,"Drama,Sci-Fi,Action","R,PG-13",recent,casual,Assisted Living
sad,alone,"Action,Comedy","G,PG",classic,me-time,Kilplased
thrilled,alone,"Sci-Fi,Horror,Action",R,classic,birthday,Lady of Csejte
happy,alone,"Romance,Horror,Action",PG-13,recent,holiday,Kiss through the Wall
sad,friends,"Sci-Fi,Horror,Romance",PG-13,classic,party,The Touch of Her Flesh
chill,family,"Horror,Romance,Sci-Fi",NC-17,classic,casual,Divina Confusión
thrilled,alone,"Comedy,Action,Sci-Fi",NC-17,older,party,Metropolis
happy,family,"Action,Sci-Fi","G,NC-17",classic,me-time,In Praise Of Older Women
chill,family,"Romance,Sci-Fi",NC-17,recent,date,The Brothers Rico
happy,friends,Drama,"R,G",classic,date,The Computer Wore Tennis Shoes
thrilled,kids,Horror,PG,classic,holiday,The Back-Up Plan
chill,family,Drama,PG,older,party,The Peacemaker
chill,alone,"Horror,Romance,Action","NC-17,PG",mid,me-time,Triumph Over Violence
sad,partner,Action,PG-13,older,date,Blue Hill Avenue
